id,symbol,market,timeframe,direction,entry,stop,target,target_r,stop_pct,mfe_r,mae_r,mae_pct,hrs_first_green,hrs_0.10R,hrs_0.25R,hrs_0.50R,hrs_1.00R,hit_1R,hit_2R,hit_3R,green_then_stopped,final_r,be25_r,be_would_save,be_cuts_winner
fdceea05,SOLUSDT,crypto major,5m,long,66.96464285714286,66.75250000000001,67.60107142857143,3.0,0.3168,0.7795,-1.2946,0.4101,0.0,0.0,0.0,0.75,,False,False,False,True,-1.0,0.0,True,False
6fc5d9fa,AVAXUSDT,crypto major,5m,long,6.647785714285714,6.6285,6.705642857142856,3.0,0.2901,1.2556,-1.1296,0.3277,0.0,0.0,0.0,0.0,0.75,True,False,False,True,-1.0,0.0,True,False
1d0e7f3f,YAHOO:ZB=F,tradfi (index/metal/oil/fx),1h,long,112.65178571428571,112.25,113.85714285714285,3.0,0.3567,0.8667,-1.4667,0.5231,0.0,7.0,7.0,7.0,,False,False,False,True,-1.0,0.0,True,False
2c9e4ce1,AVAXUSDT,crypto major,15m,short,6.589767857142856,6.624375,6.4859464285714274,3.0,0.5252,0.4845,-1.307,0.6864,0.0,0.0,0.0,,,False,False,False,True,-1.0,0.0,True,False
1ee30866,XRPUSDT,crypto major,1h,short,1.1333785714285713,1.14885,1.0869642857142856,3.0,1.3651,0.2248,-1.0485,1.4312,0.0,0.0,,,,False,False,False,True,-1.0,-1.0,False,False
cc532806,AVAXUSDT,crypto major,1h,short,6.601053571428571,6.703375,6.294089285714286,3.0,1.5501,0.3133,-1.5534,2.4079,0.0,0.0,2.0,,,False,False,False,True,-1.0,0.0,True,False
0632ec03,ETHUSDT,crypto major,4h,short,1672.4398214285713,1713.95875,1547.8830357142856,3.0,2.4825,0.4225,-1.4413,3.578,0.0,0.0,36.0,,,False,False,False,True,-1.0,0.0,True,False
3363ac4b,SOLUSDT,crypto major,5m,long,66.91392857142857,66.75750000000001,67.38321428571427,3.0,0.2338,3.8105,-1.8151,0.4243,0.0,0.0,0.0,0.0,0.5,True,True,True,False,3.0,0.0,False,True
8758aeb2,LINKUSDT,crypto major,5m,long,7.88725,7.870749999999999,7.93675,3.0,0.2092,3.7424,-1.1667,0.2441,0.0,0.0,0.0,0.08333333333333333,0.6666666666666666,True,True,True,False,3.0,0.0,False,True
7704b4ac,DOGEUSDT,crypto major,4h,short,0.08639714285714285,0.08907999999999999,0.07834857142857142,3.0,3.1053,0.2673,-1.0186,3.1631,0.0,0.0,32.0,,,False,False,False,True,-1.0,0.0,True,False
