id,symbol,filled_at,side,journal_r,net_a,net_b,net_c
339481db,BTCUSDT,2026-06-09T06:52:42.738369+00:00,long,-1.0,-1.0567225699979799,-1.0709032124974747,-1.0709032124974747
94589432,BNBUSDT,2026-06-09T06:52:43.098527+00:00,long,-1.0,-1.0541963963963972,-1.0677454954954964,-1.0677454954954964
830cfd9e,BNBUSDT,2026-06-09T19:17:41.544601+00:00,short,-1.0,-1.0338447453454376,-1.0423059316817969,-1.0423059316817969
864c79c6,BNBUSDT,2026-06-10T08:11:13.652043+00:00,short,-1.0,-1.0440066827051586,0.4449916466185518,-0.055008353381448195
37ff94f6,LINKUSDT,2026-06-11 00:00:00+00:00,short,-1.0,-1.0190107095046854,-1.0237633868808569,-1.0237633868808569
1ee30866,XRPUSDT,2026-06-13 00:00:00+00:00,short,-1.0,-1.0293024930747923,-1.0366281163434903,-1.0366281163434903
f6eaa41c,ADAUSDT,2026-06-14 21:00:00+00:00,short,-1.0,-1.032486701208981,-1.0406083765112262,-1.0406083765112262
08ec641f,DOGEUSDT,2026-06-14 16:00:00+00:00,short,-1.0,-1.0496896057347678,-1.0621120071684598,-1.0621120071684598
effd6ba2,AVAXUSDT,2026-06-14 21:00:00+00:00,short,-1.0,-1.0474972972972971,-1.0593716216216214,-1.0593716216216214
4f2cfc71,LINKUSDT,2026-06-14 21:00:00+00:00,short,-1.0,-1.0507820689655174,-1.0634775862068968,-1.0634775862068968
6f61722b,DOTUSDT,2026-06-14 21:00:00+00:00,short,-1.0,-1.040420224719101,-1.0505252808988763,-1.0505252808988763
4dcf3d30,BNBUSDT,2026-06-14 21:00:00+00:00,short,-1.0,-1.0646710090865614,-1.0808387613582018,-1.0808387613582018
3d96ee89,PYTHUSDT,2026-06-15 19:00:00+00:00,long,-1.0,-1.0134751515151514,-1.0168439393939392,-1.0168439393939392
be223657,APEUSDT,2026-06-16 01:00:00+00:00,short,-1.0,0.3092362573099353,0.47353362573099406,0.6387383040935641
75429af9,SEIUSDT,2026-06-16 05:00:00+00:00,short,-1.0,-1.0239029072082837,-1.0298786340103545,-1.0298786340103545
7a35303b,PYTHUSDT,2026-06-16 05:00:00+00:00,long,-1.0,0.3076513661202198,0.48497404371584696,0.6448101092896181
bf59bca2,OGNUSDT,2026-06-16 05:00:00+00:00,short,-1.0,-1.0267291338582674,-1.0334114173228344,-1.0334114173228344
c36e8dad,ORDIUSDT,2026-06-16 05:00:00+00:00,short,-1.0,-1.0138791758646064,-1.0173489698307578,-1.0173489698307578
9b98796d,GMTUSDT,2026-06-16 05:00:00+00:00,short,-1.0,-1.0216888888888889,-1.027111111111111,-1.027111111111111
865f2dd7,ACHUSDT,2026-06-16 05:00:00+00:00,short,-1.0,-1.0244457831325302,0.46944277108433735,-0.030557228915662663
4dae3c8e,TONUSDT,2026-06-16 11:00:00+00:00,short,2.5352467270896266,1.0781085599194378,0.47616037260825783,1.0247505035246736
7dea8ff4,NEARUSDT,2026-06-16 11:00:00+00:00,long,-1.0,-1.014969197630587,-1.0187114970382338,-1.0187114970382338
d0a11048,BNBUSDT,2026-06-16 16:00:00+00:00,short,3.0,0.3086615451958821,0.45342925147734725,0.6263883234843494
ea504ac7,ADAUSDT,2026-06-16 16:00:00+00:00,short,3.0,1.1206911392405008,0.47417616033755283,1.044851265822782
3ba6ac7a,LINKUSDT,2026-06-16 17:00:00+00:00,short,-1.0,-1.0218843304843304,-1.027355413105413,-1.027355413105413
