tf,entry,retrace_atr,fee_pct,n_trades,win_rate,avg_win_r,avg_loss_r,expectancy_r,total_r,profit_factor,max_drawdown_r
5m,limit_0.20atr_binance,0.2,0.0004,95,0.3368421052631579,2.140769924913523,-0.9277059795519804,0.10588590405745221,10.05916088545796,1.1721118801898895,-11.18921092501897
5m,limit_0.25atr_binance,0.25,0.0004,91,0.37362637362637363,2.0711748058545036,-0.9427184303825521,0.1833515699697544,16.68499286724765,1.3105054103915457,-6.8895454666621845
5m,limit_0.35atr_binance,0.35,0.0004,86,0.3953488372093023,1.970009288847442,-0.934630042013312,0.21371573995489324,18.379553636120818,1.3781741851346894,-10.301601301724151
5m,limit_0.50atr_binance,0.5,0.0004,80,0.3875,1.9694622380174254,-0.888169730553231,0.21916265726789827,17.533012581431862,1.402869599115529,-7.21210189435064
5m,limit_0.25atr_coinbase,0.25,0.008,91,0.31868131868131866,1.8906830660089238,-1.361884068826367,-0.32535168519753777,-29.607003352975937,0.6493590584723579,-33.40097714183916
15m,market_binance,,0.0009,71,0.36619718309859156,1.6578875486504474,-0.9826311293447224,-0.015680627543674303,-1.1133245556008755,0.9748221433850585,-13.93530979236489
15m,market_coinbase,,0.012,71,0.30985915492957744,1.492238139958519,-1.3398287982310875,-0.46228693005966015,-32.82237203423587,0.500052299134287,-35.1103307452127
15m,limit_0.10atr_binance,0.1,0.0004,71,0.352112676056338,1.8652323427376907,-0.9564842750378041,0.037077914319764156,2.6325319167032553,1.0598326142985246,-18.45672939449218
15m,limit_0.20atr_binance,0.2,0.0004,67,0.40298507462686567,1.8608939914815108,-0.9442852682940828,0.18616010504832073,12.472727038237489,1.330216076037338,-12.10283657687479
15m,limit_0.25atr_binance,0.25,0.0004,67,0.34328358208955223,2.1246289999021433,-0.9365089309340394,0.11432946323360545,7.660074036651565,1.1858952819258728,-13.15426510862825
15m,limit_0.35atr_binance,0.35,0.0004,63,0.42857142857142855,1.8042510385060107,-0.951230156894828,0.22969035541981725,14.470492391448486,1.422566630243118,-12.243960102637715
15m,limit_0.50atr_binance,0.5,0.0004,64,0.390625,1.8085385037878288,-0.957142295458795,0.12320176674691741,7.884913071802714,1.211230095264404,-13.22206227908838
15m,limit_0.25atr_coinbase,0.25,0.008,67,0.3283582089552239,1.9227730054834773,-1.2116328107657262,-0.18242493080330108,-12.222470363821172,0.7758310520183855,-23.65713208246472
1h,market_binance,,0.0009,140,0.37142857142857144,2.0451002833555316,-0.9684139860816589,0.15089131399501202,21.12478395930168,1.2478840316476396,-12.310836964716486
1h,market_coinbase,,0.012,140,0.32142857142857145,1.912354318757581,-1.3063520283261487,-0.27176784533494985,-38.04749834689298,0.6934210887152363,-40.68406065654076
1h,limit_0.10atr_binance,0.1,0.0004,124,0.4032258064516129,2.07262066692644,-0.9469208126612698,0.27063623555958105,33.55889320938805,1.4789191987544226,-7.909032225871165
1h,limit_0.20atr_binance,0.2,0.0004,124,0.4112903225806452,2.028790822392844,-0.9810829240979491,0.2568490200232641,31.84927848288475,1.4447039851071306,-9.571450598004908
1h,limit_0.25atr_binance,0.25,0.0004,126,0.40476190476190477,2.0680356645231397,-0.985755381067269,0.2503028992907536,31.53816531063495,1.426585417523346,-9.739333400389476
1h,limit_0.35atr_binance,0.35,0.0004,121,0.4214876033057851,1.9714583348585581,-0.9724196694870416,0.268388414989203,32.47499821369357,1.4770867563329253,-7.523581026281402
1h,limit_0.50atr_binance,0.5,0.0004,117,0.41025641025641024,2.173108164997824,-0.9531739975693975,0.32940329989407796,38.54018608760712,1.5859931376473129,-7.718371722858532
1h,limit_0.25atr_coinbase,0.25,0.008,126,0.3968253968253968,1.8236611813653831,-1.2678316721785585,-0.04104879378810552,-5.1721480173012955,0.9463220704542926,-15.207713377993331
4h,market_binance,,0.0009,80,0.375,2.074882516413399,-0.99000057421488,0.1593305847707247,12.746446781657976,1.2575038260309404,-14.808263046499068
4h,market_coinbase,,0.012,80,0.3375,2.076457543543764,-1.1336719551595897,-0.05025324934720813,-4.02025994777665,0.9330900257931085,-22.037207663925273
4h,limit_0.10atr_binance,0.1,0.0004,73,0.3424657534246575,2.079445612007037,-0.965931713387809,0.07700572681590516,5.621418057561077,1.1212434321971267,-13.21284358832781
4h,limit_0.20atr_binance,0.2,0.0004,73,0.3561643835616438,2.2786263968596363,-0.9558378667643445,0.1961631038414567,14.319906580426338,1.3187557995005057,-11.871718269621635
4h,limit_0.25atr_binance,0.25,0.0004,73,0.3287671232876712,2.218166398878512,-0.9607076813433831,0.08440160530491114,6.161317187258513,1.1308838989515324,-15.350613142643848
4h,limit_0.35atr_binance,0.35,0.0004,64,0.390625,2.164428854991046,-0.9529571222029874,0.264771775138432,16.945393608859646,1.4559462980008988,-9.896709031719025
4h,limit_0.50atr_binance,0.5,0.0004,70,0.38571428571428573,2.3056967446137295,-0.9667033458667302,0.2955081176043043,20.6855682323013,1.49762911071884,-8.670986320912636
4h,limit_0.25atr_coinbase,0.25,0.008,73,0.3287671232876712,2.0698820991937423,-1.0992728559055274,-0.05735889806467161,-4.187199558721027,0.9222640204752401,-20.23909117306839
